indicator,signal,direction,count,successes,failures,win_rate,avg_return,market
MACD,MACD 死叉 (空頭區),bearish,2138,592,1546,0.2768942937324602,-0.004140763094018486,S&P 500
RSI,RSI 超買區域 (70),bearish,3133,866,2267,0.27641238429620174,-0.0023194043648615513,S&P 500
MACD,MACD 跌破 0 軸,bearish,2784,766,2018,0.27514367816091956,-0.0014911287395944143,S&P 500
KDJ,KDJ 死叉,bearish,10016,2738,7278,0.27336261980830673,-0.0046419599379176595,S&P 500
BB,BB 突破上軌 (超買),bearish,10452,2808,7644,0.26865671641791045,-0.002431243919215005,S&P 500
RSI,RSI 維持超買,bearish,8207,2170,6037,0.2644084318264896,-0.0023116588250710413,S&P 500
RSI,RSI 下穿 50 中性線,bearish,9613,2505,7108,0.26058462498699675,-0.0038459206842754424,S&P 500
KDJ,KDJ 超買區死叉,bearish,891,229,662,0.2570145903479237,-0.011107016557745304,S&P 500
MACD,MACD 死叉 (多頭區),bearish,4541,1093,3448,0.24069588196432504,-0.005180020155368987,S&P 500
RSI,RSI 超賣區域 (30),bullish,255,119,136,0.4666666666666667,0.02081710264440355,HSI
KDJ,KDJ 超買區金叉 (謹慎),neutral,102,45,57,0.4411764705882353,0.026541787243937413,HSI
BB,BB 跌破下軌 (超賣),bullish,1017,408,609,0.40117994100294985,0.01502734179457378,HSI
EMA,EMA 黃金交叉 (20 上穿 50),bullish,114,43,71,0.37719298245614036,0.011335344027335688,HSI
KDJ,KDJ 超賣區死叉 (謹慎),neutral,733,260,473,0.35470668485675305,0.008581441959683371,HSI
MACD,MACD 金叉 (空頭區),bullish,556,189,367,0.33992805755395683,0.007929910287455415,HSI
MACD,MACD 金叉 (多頭區),bullish,541,183,358,0.33826247689463956,0.003467392214229208,HSI
KDJ,KDJ J 值極高 (>100),bearish,1208,399,809,0.3302980132450331,0.0034825904492048064,HSI
RSI,RSI 上穿 50 中性線,bullish,1606,524,1082,0.32627646326276466,0.0067269910790658536,HSI
KDJ,KDJ 超賣區金叉,bullish,957,309,648,0.322884012539185,0.004072099809109147,HSI
RSI,RSI 維持超賣,bullish,661,213,448,0.32223903177004537,0.00918912503147022,HSI
KDJ,KDJ J 值極低 (<0),bullish,8037,2588,5449,0.3220107005101406,0.005870374004751451,HSI
RSI,RSI 超買區域 (70),bearish,624,198,426,0.3173076923076923,-0.0016283207055904504,HSI
KDJ,KDJ 金叉,bullish,1375,431,944,0.31345454545454543,0.0045303078936797395,HSI
BB,BB 突破上軌 (超買),bearish,2073,630,1443,0.30390738060781475,-0.0025271054369181683,HSI
RSI,RSI 維持超買,bearish,1686,505,1181,0.29952550415183865,-0.0035826865126995736,HSI
KDJ,KDJ 超買區死叉,bearish,157,47,110,0.29936305732484075,-0.010148058400471336,HSI
KDJ,KDJ 死叉,bearish,1554,465,1089,0.29922779922779924,-0.007859827620937197,HSI
EMA,EMA 空頭排列 (20<50<200),bearish,2383,708,1675,0.2971044901384809,,HSI
BB,BB 接近上軌,neutral,14111,4159,9952,0.29473460420948194,,HSI
EMA,EMA 多頭排列 (20>50>200),bullish,7812,2294,5518,0.29365079365079366,,HSI
MACD,MACD 突破 0 軸,bullish,448,129,319,0.28794642857142855,0.005862494537207781,HSI
EMA,價格突破 EMA20,bullish,962,277,685,0.28794178794178793,0.001762898704683718,HSI
EMA,EMA 死亡交叉 (20 下穿 50),bearish,144,41,103,0.2847222222222222,-0.006465691977789068,HSI
BB,BB 接近下軌,neutral,11212,3163,8049,0.282108455226543,,HSI
EMA,價格跌破 EMA20,bearish,944,260,684,0.2754237288135593,-0.0037298480021871728,HSI
MACD,MACD 跌破 0 軸,bearish,451,116,335,0.2572062084257206,-0.004821885874971101,HSI
RSI,RSI 下穿 50 中性線,bearish,1636,393,1243,0.2402200488997555,-0.010214240062145247,HSI
MACD,MACD 死叉 (多頭區),bearish,812,195,617,0.24014778325123154,-0.012578746083341297,HSI
MACD,MACD 死叉 (空頭區),bearish,271,65,206,0.23985239852398524,-0.012057730071695309,HSI
